timestamp,name,free_spaces,max_spaces,occupied_spaces
07112023-0930,Karstadt,597,695,98
07112023-1835,Karstadt,630,695,65
28102023-1535,Karstadt,397,695,298
09112023-1431,Karstadt,486,695,209
18112023-1929,Karstadt,0,0,0
11112023-1600,Karstadt,396,695,299
10112023-1750,Karstadt,563,695,132
05112023-1046,Karstadt,0,0,0
19112023-1000,Karstadt,0,0,0
19112023-1214,Karstadt,0,0,0
07112023-1050,Karstadt,497,695,198
05112023-0946,Karstadt,0,0,0
11112023-1846,Karstadt,0,0,0
01112023-1150,Karstadt,423,695,272
04112023-1230,Karstadt,382,695,313
17112023-1815,Karstadt,574,695,121
03112023-0949,Karstadt,582,695,113
08112023-1250,Karstadt,439,695,256
27102023-1129,Karstadt,390,695,305
29102023-1130,Karstadt,0,0,0
18112023-1850,Karstadt,0,0,0
08112023-1100,Karstadt,464,695,231
09112023-1640,Karstadt,526,695,169
15112023-1055,Karstadt,477,695,218
03112023-0909,Karstadt,626,695,69
13112023-1644,Karstadt,535,695,160
15112023-1349,Karstadt,473,695,222
20112023-2019,Karstadt,0,0,0
31102023-1934,Karstadt,0,0,0
18112023-1246,Karstadt,335,695,360
18112023-1636,Karstadt,396,695,299
16112023-1140,Karstadt,462,695,233
13112023-0946,Karstadt,554,695,141
14112023-1440,Karstadt,482,695,213
01112023-1001,Karstadt,537,695,158
29102023-1046,Karstadt,0,0,0
30102023-2026,Karstadt,0,0,0
05112023-1130,Karstadt,0,0,0
04112023-1026,Karstadt,532,695,163
07112023-1030,Karstadt,517,695,178
31102023-1020,Karstadt,544,695,151
09112023-1600,Karstadt,500,695,195
17112023-1105,Karstadt,475,695,220
30102023-1454,Karstadt,518,695,177
12112023-1205,Karstadt,0,0,0
26102023-1850,Karstadt,562,695,133
30102023-1849,Karstadt,644,695,51
15112023-1645,Karstadt,515,695,180
09112023-1050,Karstadt,481,695,214
11112023-1725,Karstadt,490,695,205
06112023-1925,Karstadt,675,695,20
13112023-1340,Karstadt,510,695,185
04112023-1150,Karstadt,394,695,301
15112023-1635,Karstadt,507,695,188
17112023-1616,Karstadt,515,695,180
04112023-2005,Karstadt,0,0,0
18112023-1335,Karstadt,326,695,369
07112023-1645,Karstadt,528,695,167
02112023-0951,Karstadt,578,695,117
18112023-0935,Karstadt,616,695,79
05112023-1615,Karstadt,0,0,0
15112023-1630,Karstadt,509,695,186
16112023-1040,Karstadt,480,695,215
17112023-1535,Karstadt,508,695,187
17112023-1829,Karstadt,588,695,107
13112023-1815,Karstadt,605,695,90
04112023-1216,Karstadt,389,695,306
13112023-0925,Karstadt,597,695,98
12112023-1115,Karstadt,0,0,0
27102023-1036,Karstadt,448,695,247
15112023-1145,Karstadt,442,695,253
17112023-0900,Karstadt,622,695,73
03112023-1159,Karstadt,483,695,212
02112023-1940,Karstadt,0,0,0
10112023-1745,Karstadt,563,695,132
02112023-1731,Karstadt,574,695,121
01112023-0900,Karstadt,637,695,58
19112023-0859,Karstadt,0,0,0
12112023-1941,Karstadt,0,0,0
30102023-1406,Karstadt,517,695,178
28102023-1410,Karstadt,397,695,298
07112023-1235,Karstadt,480,695,215
12112023-1916,Karstadt,0,0,0
08112023-1205,Karstadt,425,695,270
12112023-2045,Karstadt,0,0,0
03112023-1210,Karstadt,483,695,212
17112023-1219,Karstadt,454,695,241
07112023-1630,Karstadt,514,695,181
11112023-1951,Karstadt,0,0,0
06112023-1205,Karstadt,489,695,206
14112023-1314,Karstadt,498,695,197
18112023-1526,Karstadt,324,695,371
26102023-1539,Karstadt,393,695,302
04112023-1735,Karstadt,538,695,157
13112023-1845,Karstadt,626,695,69
05112023-1040,Karstadt,0,0,0
09112023-1840,Karstadt,614,695,81
01112023-1425,Karstadt,448,695,247
11112023-1244,Karstadt,353,695,342
31102023-1141,Karstadt,480,695,215
03112023-1009,Karstadt,556,695,139
14112023-1620,Karstadt,496,695,199
29102023-1939,Karstadt,0,0,0
19112023-1645,Karstadt,0,0,0
14112023-1445,Karstadt,482,695,213
27102023-1921,Karstadt,593,695,102
19112023-1219,Karstadt,0,0,0
07112023-2020,Karstadt,0,0,0
31102023-1805,Karstadt,628,695,67
20112023-1941,Karstadt,0,0,0
12112023-1815,Karstadt,0,0,0
04112023-1450,Karstadt,374,695,321
08112023-1920,Karstadt,665,695,30
10112023-0859,Karstadt,625,695,70
07112023-1930,Karstadt,0,0,0
01112023-1415,Karstadt,444,695,251
19112023-1805,Karstadt,0,0,0
15112023-1945,Karstadt,0,0,0
14112023-1730,Karstadt,556,695,139
